"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"16450",2890.9273565794,-6.45019185515805,0.166192670610255,-38.8115302045098,0,0
"50706",40155.900873018,-7.70831590717775,0.116858308424544,-65.9629256241978,0,0
"12836",9036.50024665346,-7.17930793911719,0.177061218039172,-40.5470380166982,0,0
"52377",1283.09653849306,-6.9769922165789,0.202780388415649,-34.4066419395439,2.00601542873528e-259,9.49547403191847e-256
"12818",6444.39296696455,-8.26939445990146,0.245276769823249,-33.7145440469577,3.53901875744742e-249,1.34015562307019e-245
"14314",3703.10816348016,-6.34213526521935,0.193261660141811,-32.8163136990836,3.44600641104062e-236,1.08744475644405e-232
"13388",8435.04662462803,-7.22819541191797,0.225106756400278,-32.1100775805458,3.18917125242911e-226,8.62625264192753e-223
"12293",2483.87008514556,-8.44160038333469,0.26941441429142,-31.3331430522629,1.65100544261035e-215,3.90751713129805e-212
"12560",4124.45484793043,-7.17742259620189,0.233377571676061,-30.7545517105838,1.06290417844188e-207,2.23611419051317e-204
"110308",27553.0955969427,-8.95857712128218,0.300279036951912,-29.8341742807602,1.40853392024333e-195,2.66691812458872e-192
"12822",4979.87542219199,-6.45524326052524,0.220255029786361,-29.3080401695552,8.19200942144006e-189,1.4100682398686e-185
"74525",584.913426247849,3.26177834979832,0.115479768682141,28.2454527491857,1.61869036168021e-175,2.55402360900442e-172
"22061",3418.14363131099,-8.04873877456838,0.293350871773673,-27.4372417095735,9.86499374307344e-166,1.43679839639502e-162
"50916",1201.0298991753,-8.52727825555423,0.310848309779221,-27.4322812358565,1.13051938283411e-165,1.52894671389865e-162
"26432",389.70107589748,-4.99585874854538,0.183762073692658,-27.1865605788763,9.3649084675245e-163,1.18210117949406e-159
"94214",1304.38130316056,-6.43180302126648,0.2384291415895,-26.9757420522866,2.84677379159676e-160,3.36880093563082e-157
"13717",6454.3312066335,-6.09456441490929,0.231810930645537,-26.2911002425011,2.4241835708945e-152,2.69997010184214e-149
"12827",21905.2887709847,-6.55569712608751,0.250794283756285,-26.1397390239491,1.2892743649922e-150,1.35617337926457e-147
"21345",53015.1616332781,-7.45453637655138,0.287892152236827,-25.8935032394322,7.88190279170979e-148,7.85452355043333e-145
"20272",3230.59117281834,-8.07265805366334,0.3211845317978,-25.1340187787917,2.11337788863902e-139,2.00073484717456e-136
"58250",1091.45617176687,-6.87087509770494,0.277489203457686,-24.7608736199089,2.36759768304638e-135,2.13467116813334e-132
"71943",673.731006450171,2.54681811225672,0.10317130242174,24.6853345113928,1.53709987698925e-134,1.32288404867793e-131
"104099",974.804666960207,-6.59920077854679,0.273088448952129,-24.1650674126594,5.18531615986007e-129,4.26864244220829e-126
"242050",754.041221264361,-6.99665937045769,0.293762066787092,-23.8174364953955,2.20346605751776e-125,1.73835109721005e-122
"19038",607.164533108317,-4.9534583961075,0.209743162578378,-23.6167812824719,2.59154322665145e-123,1.96273117813675e-120
"27226",509.019008682486,-6.96072589097262,0.295786088612256,-23.5329725060106,1.87571957939805e-122,1.36595671216626e-119
"14726",1699.4311497208,-7.88752085707389,0.337690904433665,-23.3572203263867,1.16394873435558e-120,8.16229827269947e-118
"16950",583.520490233991,-5.16053012586666,0.221539141105917,-23.293988141804,5.10105914676801e-120,3.44940906731805e-117
"268860",563.440003143867,-6.16039446576836,0.267032014262364,-23.0698722877312,9.29380656585785e-118,6.06789425923974e-115
"16667",20186.6507619487,-7.27051962894668,0.316974563760927,-22.9372336463892,1.97601556393806e-116,1.24712928958678e-113
"17540",1367.12961901603,-8.29916151897321,0.363792591234838,-22.8128931675134,3.41510687591039e-115,2.08585914801572e-112
"108927",3196.04965488912,-6.05400070917552,0.266611236405305,-22.7072226617342,3.801195358528e-114,2.24911977869904e-111
"93960",775.425802377881,-7.0188281549478,0.309199047214724,-22.7000316403742,4.47673224359941e-114,2.56855903940337e-111
"16009",5356.76478422916,-7.40560499955431,0.327317553221439,-22.6251385746618,2.45191833352583e-113,1.36543005079347e-110
"14118",3527.56575360249,-6.45498289067489,0.287810308119253,-22.4279072311763,2.10298612649563e-111,1.13765540911624e-108
"68810",1098.81580598622,-7.71780652713637,0.347832896548454,-22.188259373165,4.45921390051573e-109,2.34529877756569e-106
