gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
16450,2890.927357,-6.450191855,0.166192671,-38.8115302,0,0
50706,40155.90087,-7.708315907,0.116858308,-65.96292562,0,0
12836,9036.500247,-7.179307939,0.177061218,-40.54703802,0,0
52377,1283.096538,-6.976992217,0.202780388,-34.40664194,2.01E-259,9.50E-256
12818,6444.392967,-8.26939446,0.24527677,-33.71454405,3.54E-249,1.34E-245
14314,3703.108163,-6.342135265,0.19326166,-32.8163137,3.45E-236,1.09E-232
13388,8435.046625,-7.228195412,0.225106756,-32.11007758,3.19E-226,8.63E-223
12293,2483.870085,-8.441600383,0.269414414,-31.33314305,1.65E-215,3.91E-212
12560,4124.454848,-7.177422596,0.233377572,-30.75455171,1.06E-207,2.24E-204
110308,27553.0956,-8.958577121,0.300279037,-29.83417428,1.41E-195,2.67E-192
12822,4979.875422,-6.455243261,0.22025503,-29.30804017,8.19E-189,1.41E-185
74525,584.9134262,3.26177835,0.115479769,28.24545275,1.62E-175,2.55E-172
22061,3418.143631,-8.048738775,0.293350872,-27.43724171,9.86E-166,1.44E-162
50916,1201.029899,-8.527278256,0.31084831,-27.43228124,1.13E-165,1.53E-162
26432,389.7010759,-4.995858749,0.183762074,-27.18656058,9.36E-163,1.18E-159
94214,1304.381303,-6.431803021,0.238429142,-26.97574205,2.85E-160,3.37E-157
13717,6454.331207,-6.094564415,0.231810931,-26.29110024,2.42E-152,2.70E-149
12827,21905.28877,-6.555697126,0.250794284,-26.13973902,1.29E-150,1.36E-147
21345,53015.16163,-7.454536377,0.287892152,-25.89350324,7.88E-148,7.85E-145
20272,3230.591173,-8.072658054,0.321184532,-25.13401878,2.11E-139,2.00E-136
58250,1091.456172,-6.870875098,0.277489203,-24.76087362,2.37E-135,2.13E-132
71943,673.7310065,2.546818112,0.103171302,24.68533451,1.54E-134,1.32E-131
104099,974.804667,-6.599200779,0.273088449,-24.16506741,5.19E-129,4.27E-126
242050,754.0412213,-6.99665937,0.293762067,-23.8174365,2.20E-125,1.74E-122
19038,607.1645331,-4.953458396,0.209743163,-23.61678128,2.59E-123,1.96E-120
27226,509.0190087,-6.960725891,0.295786089,-23.53297251,1.88E-122,1.37E-119
14726,1699.43115,-7.887520857,0.337690904,-23.35722033,1.16E-120,8.16E-118
16950,583.5204902,-5.160530126,0.221539141,-23.29398814,5.10E-120,3.45E-117
268860,563.4400031,-6.160394466,0.267032014,-23.06987229,9.29E-118,6.07E-115
16667,20186.65076,-7.270519629,0.316974564,-22.93723365,1.98E-116,1.25E-113
17540,1367.129619,-8.299161519,0.363792591,-22.81289317,3.42E-115,2.09E-112
108927,3196.049655,-6.054000709,0.266611236,-22.70722266,3.80E-114,2.25E-111
93960,775.4258024,-7.018828155,0.309199047,-22.70003164,4.48E-114,2.57E-111
16009,5356.764784,-7.405605,0.327317553,-22.62513857,2.45E-113,1.37E-110
14118,3527.565754,-6.454982891,0.287810308,-22.42790723,2.10E-111,1.14E-108
68810,1098.815806,-7.717806527,0.347832897,-22.18825937,4.46E-109,2.35E-106
